transaction_id,date,time_utc,account_holder,account_number,type,description,amount_usd,currency,counterparty,counterparty_account,status,flag
TXN-2024-0041,2024-03-15,09:14:22,Marcus Vance,GB29NWBK60161331926819,DEBIT,Monthly mortgage - 14 Birch Lane,1850.00,USD,Halifax Mortgages,GB82WEST12345698765432,CLEARED,
TXN-2024-0055,2024-03-28,16:30:05,Marcus Vance,GB29NWBK60161331926819,CREDIT,DeltaTech Corp salary - March,6200.00,USD,DeltaTech Corp Payroll,GB41BARC20000055779911,CLEARED,
TXN-2024-0071,2024-04-02,11:02:44,Marcus Vance,GB29NWBK60161331926819,DEBIT,Amazon - Electronics purchase,347.99,USD,Amazon UK,GB03BARC20058009991111,CLEARED,FLAGGED - Electronics
TXN-2024-0083,2024-04-05,14:15:10,Marcus Vance,GB29NWBK60161331926819,DEBIT,USB encrypted storage x3 - TechDirect,289.50,USD,TechDirect Ltd,GB72MIDL40051512345674,CLEARED,FLAGGED - Encrypted storage
TXN-2024-0094,2024-04-10,09:30:00,Marcus Vance,GB29NWBK60161331926819,DEBIT,Monthly mortgage - 14 Birch Lane,1850.00,USD,Halifax Mortgages,GB82WEST12345698765432,CLEARED,
TXN-2024-0102,2024-04-12,17:44:33,Marcus Vance,GB29NWBK60161331926819,DEBIT,Cash ATM withdrawal,500.00,USD,ATM - Elm Street,N/A,CLEARED,FLAGGED - Elm Street location
TXN-2024-0118,2024-04-15,10:02:11,Marcus Vance,GB29NWBK60161331926819,DEBIT,Premier Inn - Coastal Weekend,312.00,USD,Premier Inn,GB55LOYD30949301273801,CLEARED,
TXN-2024-0133,2024-04-20,08:55:04,Marcus Vance,GB29NWBK60161331926819,CREDIT,DeltaTech Corp - Expense reimbursement,420.00,USD,DeltaTech Corp Payroll,GB41BARC20000055779911,CLEARED,
TXN-2024-0141,2024-04-22,20:10:19,Marcus Vance,GB29NWBK60161331926819,DEBIT,CryptoVault.io - account deposit,5000.00,USD,CryptoVault.io Exchange,CRYPTO-WALLET-88441,CLEARED,FLAGGED - Crypto exchange
TXN-2024-0155,2024-04-24,15:30:00,Marcus Vance,GB29NWBK60161331926819,DEBIT,Cash ATM withdrawal,500.00,USD,ATM - High Street,N/A,CLEARED,
TXN-2024-0162,2024-04-28,18:00:52,Marcus Vance,GB29NWBK60161331926819,CREDIT,DeltaTech Corp salary - April,6200.00,USD,DeltaTech Corp Payroll,GB41BARC20000055779911,CLEARED,
TXN-2024-0177,2024-04-30,07:45:00,Marcus Vance,GB29NWBK60161331926819,DEBIT,Monthly mortgage - 14 Birch Lane,1850.00,USD,Halifax Mortgages,GB82WEST12345698765432,CLEARED,
TXN-2024-0189,2024-05-01,11:20:33,Marcus Vance,GB29NWBK60161331926819,DEBIT,CryptoVault.io - XMR purchase,8000.00,USD,CryptoVault.io Exchange,CRYPTO-WALLET-88441,CLEARED,FLAGGED - Large XMR purchase
TXN-2024-0201,2024-05-03,09:00:11,Marcus Vance,GB29NWBK60161331926819,DEBIT,Cash ATM withdrawal,1000.00,USD,ATM - Parking Structure B,N/A,CLEARED,FLAGGED - Parking Structure B ATM
TXN-2024-0214,2024-05-05,14:15:44,Marcus Vance,GB29NWBK60161331926819,DEBIT,CryptoVault.io - XMR purchase,6000.00,USD,CryptoVault.io Exchange,CRYPTO-WALLET-88441,CLEARED,FLAGGED - Large XMR purchase
TXN-2024-0228,2024-05-07,16:30:29,Marcus Vance,GB29NWBK60161331926819,CREDIT,Wire Transfer Received - Ref XMR-20240509-8841,32140.00,USD,UNKNOWN SENDER,CRYPTO-ANON-4A7F91E,UNDER REVIEW,FLAGGED - Large unexplained credit
TXN-2024-0235,2024-05-09,06:45:00,Marcus Vance,GB29NWBK60161331926819,DEBIT,CryptoVault.io - XMR withdrawal to external wallet,28000.00,USD,CryptoVault.io Exchange,CRYPTO-WALLET-88441,CLEARED,FLAGGED - Large XMR withdrawal
TXN-2024-0241,2024-05-10,10:00:00,Marcus Vance,GB29NWBK60161331926819,DEBIT,Cash ATM withdrawal,1000.00,USD,ATM - Airport Terminal 2,N/A,CLEARED,FLAGGED - Airport withdrawal
TXN-2024-0250,2024-05-11,09:30:00,Marcus Vance,GB29NWBK60161331926819,CREDIT,DeltaTech Corp salary - May (partial),3100.00,USD,DeltaTech Corp Payroll,GB41BARC20000055779911,CLEARED,FLAGGED - Partial salary - account suspended by employer
TXN-2024-0258,2024-05-12,11:00:00,Marcus Vance,GB29NWBK60161331926819,FREEZE,Account frozen by order of Det. Sgt. Okafor - Case AX-2024-0089,0.00,USD,DeltaTech Corp,N/A,FROZEN,FLAGGED - Legal freeze
